objectid,data,codnum,estação,chuva,pres,rs,temp,ur,dir_vento,vel_vento,so2,no2,hcnm,hct,ch4,co,no,nox,o3,pm10,pm2_5,lat,lon,x_utm_sirgas2000,y_utm_sirgas2000
2407357,1/1/2012 12:30:00 AM,2,BG,0.2,1008.15,,24.67,95.24,,,,15.18,0.18,2.12,1.94,0.42,2.18,17.36,28.06,81,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2521333,1/1/2012 12:30:00 AM,4,CG,0.2,1006.67,5.17,25.12,94.33,,,3.83,28.79,0.11,2.32,2.22,0.69,1.59,30.38,37.67,27,,-22.88625468,-43.55652197,648064.4921,7468346.2624
2635309,1/1/2012 12:30:00 AM,3,CA,0.6,1005.98,0,,,108.17,0.9,,,,,,,,,,,,-22.90834428,-43.17815176,686853.7075,7465469.7974
2749285,1/1/2012 12:30:00 AM,5,IR,0.8,1003.43,0.83,24.84,97.12,,,2.55,20.09,0.68,2.52,1.83,0.4,0.23,20.2,25.03,89,85,-22.8316208,-43.3268447,671696.6238,7474146.6215
2863261,1/1/2012 12:30:00 AM,6,PG,0.8,1006.23,1,24.07,99.56,,,,,,,,,,,24.52,74,,-23.00437898,-43.62901037,640505.9556,7455338.4492
2977153,1/1/2012 12:30:00 AM,7,SC,0.2,1007.08,0,27.14,99.82,240.83,0.58,8.41,,,,,0.17,,,10.95,49,,-22.89777109,-43.22174541,682395.7505,7466695.3372
3091129,1/1/2012 12:30:00 AM,8,SP,0,1007.1,11.15,21.47,98.4,194.33,0,1.51,,,,,0.06,,,24.55,36,,-22.92491534,-43.23265652,681240.2399,7463702.987
3205105,1/1/2012 12:30:00 AM,1,AV,0.2,1007.3,1.03,24.14,93.01,134,0.28,2.2,,,,,0.41,,,19.29,70,,-22.96500373,-43.18048165,686537.0128,7459198.4024
2407358,1/1/2012 1:30:00 AM,2,BG,0.4,1007.13,,24.72,94.13,,,0.4,9.5,0.12,2.08,1.96,0.35,1.63,11.12,32.81,61,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2521334,1/1/2012 1:30:00 AM,4,CG,0,1005.67,5,25.02,94.65,,,1.63,25.73,0.1,2.29,2.19,0.58,1.46,27.19,41.29,,,-22.88625468,-43.55652197,648064.4921,7468346.2624
2635310,1/1/2012 1:30:00 AM,3,CA,0,1004.98,0,,,165.17,1.03,,,,,,,,,,,,-22.90834428,-43.17815176,686853.7075,7465469.7974
2749286,1/1/2012 1:30:00 AM,5,IR,0,1002.43,1,24.68,96,,,0.45,18.91,0.65,2.55,1.9,0.35,0.68,19.6,22.95,33,32,-22.8316208,-43.3268447,671696.6238,7474146.6215
2863262,1/1/2012 1:30:00 AM,6,PG,1.2,1005.15,0.33,24.07,99.4,,,,,,,,,,,28.16,34,,-23.00437898,-43.62901037,640505.9556,7455338.4492
2977154,1/1/2012 1:30:00 AM,7,SC,0.4,1006.1,0,27.01,99.82,257.67,0.32,4.77,,,,,0.21,,,10.01,27,,-22.89777109,-43.22174541,682395.7505,7466695.3372
3091130,1/1/2012 1:30:00 AM,8,SP,0.2,1006.13,11.08,21.36,98.41,193.33,0,1.89,,,,,0.08,,,19,40,,-22.92491534,-43.23265652,681240.2399,7463702.987
3205106,1/1/2012 1:30:00 AM,1,AV,0.4,1006.3,1.1,24.11,92.03,209,0.52,1.25,,,,,0.2,,,27.41,58,,-22.96500373,-43.18048165,686537.0128,7459198.4024
2407359,1/1/2012 2:30:00 AM,2,BG,0,1006.32,,24.49,92.91,,,0.12,8.74,0.1,2.07,1.97,0.27,1.73,10.47,31.61,26,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2521335,1/1/2012 2:30:00 AM,4,CG,0.2,1004.75,5,24.95,92.03,,,0.38,18.15,0.09,2.28,2.19,0.38,1.05,19.2,48.89,41,,-22.88625468,-43.55652197,648064.4921,7468346.2624
2635311,1/1/2012 2:30:00 AM,3,CA,0,1004.57,0,,,245.83,0.28,,,,,,,,,,,,-22.90834428,-43.17815176,686853.7075,7465469.7974
2749287,1/1/2012 2:30:00 AM,5,IR,0,1001.62,1,24.56,96.39,,,0.11,17.99,0.66,2.58,1.92,0.34,0.39,18.33,22.31,19,14,-22.8316208,-43.3268447,671696.6238,7474146.6215
2863263,1/1/2012 2:30:00 AM,6,PG,0.4,1004.2,0.17,24.17,96.38,,,,,,,,,,,42.38,41,,-23.00437898,-43.62901037,640505.9556,7455338.4492
2977155,1/1/2012 2:30:00 AM,7,SC,0,1005.1,0,26.63,99.81,258.5,0.23,4.31,,,,,0.25,,,3.63,32,,-22.89777109,-43.22174541,682395.7505,7466695.3372
3091131,1/1/2012 2:30:00 AM,8,SP,0,1005.12,11.17,21.2,98.41,231.5,0,1.7,,,,,0.07,,,18.05,29,,-22.92491534,-43.23265652,681240.2399,7463702.987
3205107,1/1/2012 2:30:00 AM,1,AV,0,1005.13,1.12,24.12,91.36,183.67,0.65,1.29,,,,,0.45,,,25.8,45,,-22.96500373,-43.18048165,686537.0128,7459198.4024
2407360,1/1/2012 3:30:00 AM,2,BG,0.2,1005.82,,24.54,92.59,,,0,5.51,0.08,2.01,1.93,0.21,1.18,6.68,37.39,20,,-22.88790959,-43.47107415,656828.8045,7468074.5684
2521336,1/1/2012 3:30:00 AM,4,CG,0.4,1004.32,4.83,24.82,91.98,,,0.18,12.09,0.08,2.23,2.16,0.27,0.39,12.48,57.66,16,,-22.88625468,-43.55652197,648064.4921,7468346.2624
2635312,1/1/2012 3:30:00 AM,3,CA,0.2,1004.37,0,,,168,0.78,,,,,,,,,,,,-22.90834428,-43.17815176,686853.7075,7465469.7974
2749288,1/1/2012 3:30:00 AM,5,IR,0,1001.1,1,24.65,96.87,,,0.7,22.49,0.69,2.59,1.9,0.37,0.44,22.93,17.98,12,12,-22.8316208,-43.3268447,671696.6238,7474146.6215
2863264,1/1/2012 3:30:00 AM,6,PG,0.6,1003.82,0.17,24.03,94.49,,,,,,,,,,,45.37,17,,-23.00437898,-43.62901037,640505.9556,7455338.4492
2977156,1/1/2012 3:30:00 AM,7,SC,0,1004.65,0,26.53,99.82,257.17,0.4,3.41,,,,,0.18,,,1.92,13,,-22.89777109,-43.22174541,682395.7505,7466695.3372
3091132,1/1/2012 3:30:00 AM,8,SP,0,1004.77,11.07,21.18,98.41,191.5,0,1.55,,,,,0.12,,,12.25,12,,-22.92491534,-43.23265652,681240.2399,7463702.987
3205108,1/1/2012 3:30:00 AM,1,AV,0.2,1004.82,1.18,24.12,91.67,112.33,0.33,1.5,,,,,0.29,,,9.18,47,,-22.96500373,-43.18048165,686537.0128,7459198.4024
